theta,phi,E_opt_ortho,E_opt_meta,E_opt_para,g_norm_ortho,g_norm_meta,g_norm_para
81.0,108.0,-3010.318892081262,-3010.3248617314016,-3010.3337098815223,0.0003957604841194424,0.00016139774539372239,0.0004180821166352701
81.0,126.0,-3010.3167546455284,-3010.327857761929,-3010.327315796275,0.00046886283260605155,0.0017474592243787806,0.0012953971530376973
81.0,144.0,-3010.317622930437,-3010.3306503492345,-3010.3207964431417,0.0009981109195892747,0.0006677795447489246,0.0011459882306401612
81.0,162.0,-3010.322083815884,-3010.332543779908,-3010.318250041746,0.0008591620157260948,0.001414107431537098,0.0018327286521815887
81.0,180.0,-3010.3273285970904,-3010.3306014641857,-3010.3184445349007,0.001256138532933611,0.0009118282449632302,0.0004335672466816082
81.0,198.0,-3010.3289244242055,-3010.32505341462,-3010.317834078146,0.0007799424603789935,0.0010467862283163245,0.0014550814069508415
81.0,216.0,-3010.32653673047,-3010.3179935366734,-3010.3237887052187,0.00033517510407858245,0.0018488678868951228,0.0011530133732826691
81.0,234.0,-3010.3272268057617,-3010.312010535914,-3010.330141933917,0.001686725042194041,0.003772163932682014,0.001091072977303007
81.0,252.0,-3010.325407903251,-3010.316366848159,-3010.336022889419,0.0014363891647485108,0.004871439632326038,0.00038513949354060617
81.0,270.0,-3010.32245415151,-3010.320042980961,-3010.337564412734,0.0006094589287268268,0.0017918600992721785,0.0009878651288330704
81.0,288.0,-3010.3191987459845,-3010.324392318953,-3010.333436290729,0.0005722042008940378,0.0006504505144061682,0.0018625723015209782
81.0,306.0,-3010.316986291371,-3010.3284836885427,-3010.326206997277,0.0009534228834827124,0.0036464526838066538,0.0012278520990456013
81.0,324.0,-3010.3176137792,-3010.331654113162,-3010.3194345152842,0.0008732048561243327,0.002227547926425121,0.0013961045827832641
81.0,342.0,-3010.3226032262332,-3010.332127930183,-3010.315850587895,0.0006287379536483309,0.0008880289486562709,0.00025898375993705616
90.0,0.0,-3010.3278972279504,-3010.3292283341766,-3010.3158314999096,0.0011901767212381153,0.00032258464197210167,0.0003062017415777778
90.0,18.0,-3010.329090382099,-3010.3233245174188,-3010.3160423136487,0.0006368368169443633,0.0010822759018502398,0.0018774382123501966
90.0,36.0,-3010.3274569748983,-3010.317529167323,-3010.319242487593,0.0014560589272272833,0.00034603499438770006,0.00119660782113481
90.0,54.0,-3010.3271256808875,-3010.3153202544177,-3010.327060132524,0.003960793037727278,0.0011285110544375409,0.0011207436933735335
90.0,72.0,-3010.3253148072163,-3010.319286157558,-3010.3337758291163,0.004099157538279748,0.005780549373791839,0.001237508652378409
90.0,90.0,-3010.3231916116406,-3010.323573190148,-3010.336281548383,0.0010497017617316247,0.0050438300776980225,8.882586359132702e-05
90.0,108.0,-3010.3197201365438,-3010.327882847584,-3010.3330373476374,0.0005646999418150359,0.004525123364690971,0.001043574289453244
90.0,126.0,-3010.3172875002933,-3010.330338364084,-3010.3259762738803,0.0014221896950413519,0.004305804881742595,0.0003919089908268517
90.0,144.0,-3010.3175677266954,-3010.3314779384586,-3010.3190219199437,0.0006401454637684855,0.0006826034331468063,0.0008032787687255417
90.0,162.0,-3010.322415220002,-3010.331646475626,-3010.3158842118087,0.000816353386488122,0.000676670303950768,0.0004514123644576523
