     Theta        Phi           Ex           Ey           Ez              Nitro_E
    35.122     35.122     0.047057     0.033099     0.081793    -436.551410264579
    35.122     43.902     0.041453     0.039894     0.081793    -436.551286855252
    35.122     52.683     0.034877     0.045755     0.081793    -436.551119851733
    35.122     61.463     0.027484     0.050542     0.081793    -436.550959406125
    35.122     70.244     0.019447     0.054146     0.081793    -436.550846288369
    35.122     79.024     0.010954     0.056480     0.081793    -436.550807932110
    35.122     87.805     0.002204     0.057490     0.081793    -436.550858302915
    35.122     96.585    -0.006598     0.057152     0.081793    -436.551000243259
    35.122    105.366    -0.015245     0.055475     0.081793    -436.551227631210
    35.122    114.146    -0.023534     0.052498     0.081793    -436.551525388673
    35.122    122.927    -0.031272     0.048290     0.081793    -436.551867653785
    35.122    131.707    -0.038277     0.042951     0.081793    -436.552216411918
    35.122    140.488    -0.044385     0.036604     0.081793    -436.552522973644
    35.122    149.268    -0.049453     0.029400     0.081793    -436.552733018597
    35.122    158.049    -0.053361     0.021506     0.081793    -436.552793978345
    35.122    166.829    -0.056019     0.013109     0.081793    -436.552662641115
    35.122    175.610    -0.057363     0.004404     0.081793    -436.552311254710
    35.122    184.390    -0.057363    -0.004404     0.081793    -436.551731429182
    35.122    193.171    -0.056019    -0.013109     0.081793    -436.550935962190
    35.122    201.951    -0.053361    -0.021506     0.081793    -436.549958858115
    35.122    210.732    -0.049453    -0.029400     0.081793    -436.548853416025
    35.122    219.512    -0.044385    -0.036604     0.081793    -436.547687901948
    35.122    228.293    -0.038277    -0.042951     0.081793    -436.546538583463
    35.122    237.073    -0.031272    -0.048290     0.081793    -436.545480917155
    35.122    245.854    -0.023534    -0.052498     0.081793    -436.544580924618
    35.122    254.634    -0.015245    -0.055475     0.081793    -436.543889310982
    35.122    263.415    -0.006598    -0.057152     0.081793    -436.543439875379
    35.122    272.195     0.002204    -0.057490     0.081793    -436.543251455243
    35.122    280.976     0.010954    -0.056480     0.081793    -436.543330581315
    35.122    289.756     0.019447    -0.054146     0.081793    -436.543671966944
    35.122    298.537     0.027484    -0.050542     0.081793    -436.544256162829
    35.122    307.317     0.034877    -0.045755     0.081793    -436.545046478116
    35.122    316.098     0.041453    -0.039894     0.081793    -436.545988397822
    35.122    324.878     0.047057    -0.033099     0.081793    -436.547013433624
    35.122    333.659     0.051558    -0.025528     0.081793    -436.548046849088
    35.122    342.439     0.054851    -0.017359     0.081793    -436.549016898409
    35.122    351.220     0.056858    -0.008782     0.081793    -436.549863036346
    35.122    360.000     0.057532    -0.000000     0.081793    -436.550541614390
    39.512      0.000     0.063624     0.000000     0.077149    -436.547361105001
    39.512      8.780     0.062879     0.009712     0.077149    -436.547846451113
    39.512     17.561     0.060659     0.019197     0.077149    -436.548089085445
    39.512     26.341     0.057018     0.028231     0.077149    -436.548112606731
    39.512     35.122     0.052040     0.036604     0.077149    -436.547962495553
    39.512     43.902     0.045843     0.044119     0.077149    -436.547700577591
    39.512     52.683     0.038571     0.050600     0.077149    -436.547396115394
    39.512     61.463     0.030395     0.055895     0.077149    -436.547114830291
    39.512     70.244     0.021506     0.059879     0.077149    -436.546909012540
    39.512     79.024     0.012113     0.062460     0.077149    -436.546812252671
    39.512     87.805     0.002437     0.063578     0.077149    -436.546840259690
    39.512     96.585    -0.007297     0.063204     0.077149    -436.546995570652
    39.512    105.366    -0.016859     0.061350     0.077149    -436.547271500664
