     Theta        Phi           Ex           Ey           Ez               Para_E               Meta_E
    67.000     75.000     0.023824     0.088914     0.039073   -3010.299561268899   -3010.298010579027
    67.000     76.000     0.022269     0.089316     0.039073   -3010.299623137380   -3010.298050756493
    67.000     77.000     0.020707     0.089691     0.039073   -3010.299689299433   -3010.298106689693
    67.000     78.000     0.019138     0.090039     0.039073   -3010.299759734176   -3010.298178362806
    67.000     79.000     0.017564     0.090359     0.039073   -3010.299834415086   -3010.298265741623
    67.000     80.000     0.015984     0.090652     0.039073   -3010.299913309971   -3010.298368773420
    67.000     81.000     0.014400     0.090917     0.039073   -3010.299996380967   -3010.298487386843
    67.000     82.000     0.012811     0.091155     0.039073   -3010.300083584561   -3010.298621491868
    67.000     83.000     0.011218     0.091364     0.039073   -3010.300174871672   -3010.298770979749
    67.000     84.000     0.009622     0.091546     0.039073   -3010.300270187727   -3010.298935723053
    67.000     85.000     0.008023     0.091700     0.039073   -3010.300369472815   -3010.299115575649
    67.000     86.000     0.006421     0.091826     0.039073   -3010.300472661867   -3010.299310372829
    67.000     87.000     0.004818     0.091924     0.039073   -3010.300579684853   -3010.299519931348
    67.000     88.000     0.003213     0.091994     0.039073   -3010.300690467039   -3010.299744049621
    67.000     89.000     0.001607     0.092036     0.039073   -3010.300804929279   -3010.299982507924
    68.000     69.000     0.033227     0.086560     0.037461   -3010.298837155260   -3010.297637039677
    68.000     70.000     0.031712     0.087127     0.037461   -3010.298868917900   -3010.297582317909
    68.000     71.000     0.030186     0.087667     0.037461   -3010.298904979418   -3010.297543246308
    68.000     72.000     0.028652     0.088180     0.037461   -3010.298945352139   -3010.297519917058
    68.000     73.000     0.027108     0.088667     0.037461   -3010.298990043387   -3010.297512404731
    68.000     74.000     0.025557     0.089127     0.037461   -3010.299039055388   -3010.297520766022
    68.000     75.000     0.023997     0.089559     0.037461   -3010.299092385123   -3010.297545039602
    68.000     76.000     0.022431     0.089964     0.037461   -3010.299150024216   -3010.297585245859
    68.000     77.000     0.020857     0.090342     0.037461   -3010.299211958852   -3010.297641386745
    68.000     78.000     0.019277     0.090692     0.037461   -3010.299278169628   -3010.297713445631
    68.000     79.000     0.017692     0.091015     0.037461   -3010.299348631589   -3010.297801387139
    68.000     80.000     0.016100     0.091310     0.037461   -3010.299423314113   -3010.297905157058
    68.000     81.000     0.014504     0.091577     0.037461   -3010.299502180928   -3010.298024682231
    68.000     82.000     0.012904     0.091816     0.037461   -3010.299585190141   -3010.298159870497
    68.000     83.000     0.011300     0.092027     0.037461   -3010.299672294327   -3010.298310610669
    68.000     84.000     0.009692     0.092210     0.037461   -3010.299763440577   -3010.298476772542
    68.000     85.000     0.008081     0.092366     0.037461   -3010.299858570674   -3010.298658206899
    68.000     86.000     0.006468     0.092493     0.037461   -3010.299957621270   -3010.298854745612
    68.000     87.000     0.004853     0.092591     0.037461   -3010.300060524084   -3010.299066201754
    68.000     88.000     0.003236     0.092662     0.037461   -3010.300167206166   -3010.299292369730
